metric,duration_hours,mean_difference_B_E_minus_B_N,ci95_low,ci95_high,replications,incident_zone_scenarios,sampled_node
nonincident_zone_mean_response_min,2.086206896551724,-0.008082904837260343,-0.03770692866762368,0.02154111899310299,9,10,False
nonincident_zone_mean_response_min,2.185344827586207,-0.006375368663457103,-0.03599884623356436,0.02324810890665016,9,10,False
nonincident_zone_mean_response_min,2.2844827586206895,-0.0038276882089965983,-0.03362076416725451,0.02596538774926132,9,10,False
nonincident_zone_mean_response_min,2.3836206896551726,-0.0005458819940215467,-0.030914783430938297,0.029823019442895202,9,10,False
nonincident_zone_mean_response_min,2.4827586206896552,0.00336403146132527,-0.02820300307359459,0.03493106599624513,9,10,False
nonincident_zone_mean_response_min,2.581896551724138,0.007796033636901126,-0.02573374066037491,0.04132580793417716,9,10,False
nonincident_zone_mean_response_min,2.681034482758621,0.0126441060125633,-0.02364997987138287,0.04893819189650947,9,10,False
nonincident_zone_mean_response_min,2.7801724137931036,0.017802230068168987,-0.02199513992352268,0.05759960005986065,9,10,False
nonincident_zone_mean_response_min,2.8793103448275863,0.02316438728357549,-0.020745250897316964,0.06707402546446795,9,10,False
nonincident_zone_mean_response_min,2.978448275862069,0.02862455913864007,-0.019844393426985203,0.07709351170426534,9,10,False
nonincident_zone_mean_response_min,3.0775862068965516,0.034076727113219955,-0.019229274769628185,0.0873827289960681,9,10,False
nonincident_zone_mean_response_min,3.1767241379310347,0.039414872687172434,-0.01884156019298635,0.09767130556733122,9,10,False
nonincident_zone_mean_response_min,3.2758620689655173,0.04453297734035473,-0.018632111481539718,0.10769806616224918,9,10,False
nonincident_zone_mean_response_min,3.375,0.0493250225526241,-0.01856122929029517,0.11721127439554338,9,10,False
nonincident_zone_mean_response_min,3.474137931034483,0.05368498980383785,-0.01859739182577403,0.12596737143344974,9,10,False
nonincident_zone_mean_response_min,3.5732758620689657,0.05750686057385315,-0.018715680901079487,0.1337294020487858,9,10,False
nonincident_zone_mean_response_min,3.6724137931034484,0.060684616342527344,-0.018896362304026824,0.1402655949890815,9,10,False
nonincident_zone_mean_response_min,3.771551724137931,0.06311223858971762,-0.01912375592104755,0.14534823310048278,9,10,False
nonincident_zone_mean_response_min,3.8706896551724137,0.06468370879528126,-0.01938540377519922,0.14875282136576173,9,10,False
nonincident_zone_mean_response_min,3.969827586206897,0.06529300843907554,-0.019671510794449024,0.1502575276726001,9,10,False
nonincident_zone_mean_response_min,4.0,0.06527130467639225,-0.01976224762617522,0.15030485697895973,9,10,True
nonincident_zone_mean_response_min,4.068965517241379,0.06407832052013657,-0.01985179456852837,0.1480084356088015,9,10,False
nonincident_zone_mean_response_min,4.168103448275862,0.0591888873578242,-0.019616627405877725,0.13799440212152614,9,10,False
nonincident_zone_mean_response_min,4.267241379310345,0.05135687272059883,-0.019075821773608156,0.12178956721480581,9,10,False
