incident_zone,duration_hours,metric,B_N_mean,B_E_mean,mean_difference_B_E_minus_B_N,ci95_low,ci95_high,replications
3,0.5,p95_response_min,11.88072887415906,11.957746332115255,0.0770174579561959,-0.10058511857370482,0.2546200344860966,9
3,1.0,p95_response_min,12.631662221908615,12.631662221908615,0.0,0.0,0.0,10
3,2.0,p95_response_min,17.08345063112653,17.08345063112653,0.0,0.0,0.0,10
3,4.0,p95_response_min,25.03823763640876,25.32439398297586,0.28615634656710115,-0.36117428249983213,0.9334869756340345,10
3,5.0,p95_response_min,42.212897870564724,42.212897870564724,0.0,0.0,0.0,10
3,6.0,p95_response_min,53.31958462168397,52.85398544074012,-0.46559918094385183,-1.5188577031089636,0.5876593412212601,10
3,8.0,p95_response_min,172.06846265126447,172.06846265126447,0.0,0.0,0.0,10
3,10.0,p95_response_min,174.15833266383706,174.15833266383706,0.0,0.0,0.0,10
3,11.0,p95_response_min,157.68731916236578,156.952198139263,-0.7351210231027965,-2.939936399709267,1.469694353503674,10
3,12.0,p95_response_min,248.21443389353368,245.08146219661597,-3.1329716969177297,-9.537094934186692,3.2711515403512332,10
4,0.5,p95_response_min,9.643440510380776,9.643440510380776,0.0,0.0,0.0,9
4,1.0,p95_response_min,9.23765814339632,9.23765814339632,0.0,0.0,0.0,10
4,2.0,p95_response_min,12.64152606251589,12.694718896351365,0.05319283383547333,-0.06713771623497738,0.17352338390592403,10
4,4.0,p95_response_min,13.43532264075929,13.879526447775401,0.44420380701611306,-0.45359347369010217,1.3420010877223283,10
4,5.0,p95_response_min,16.918369662793864,16.918369662793864,0.0,0.0,0.0,10
4,6.0,p95_response_min,17.768807379691264,17.5485033619941,-0.22030401769716218,-0.5530428640306163,0.11243482863629195,10
4,8.0,p95_response_min,37.85312207601174,37.09283280401981,-0.7602892719919379,-2.3743129735590323,0.8537344295751566,10
4,10.0,p95_response_min,27.590330661502207,27.544216973539875,-0.04611368796232958,-0.18485136532501517,0.09262398940035603,10
4,11.0,p95_response_min,27.608288427056504,28.559033435472184,0.9507450084156813,-1.059235812899784,2.960725829731147,10
4,12.0,p95_response_min,39.32029932590178,39.19148059765832,-0.12881872824345902,-0.4478633722403833,0.19022591575346526,10
5,0.5,p95_response_min,9.715263870290787,9.770267679901028,0.0550038096102414,-0.07183520280295791,0.1818428220234407,9
5,1.0,p95_response_min,9.639280801009381,9.7947442659345,0.1554634649251204,-0.08836922967473365,0.39929615952497444,10
5,2.0,p95_response_min,12.793955906118633,12.793955906118633,0.0,0.0,0.0,10
5,4.0,p95_response_min,13.640490218791877,14.257773399199888,0.6172831804080101,-1.3499115107663089,2.584477871582329,10
5,5.0,p95_response_min,13.577087998362439,13.56208466710751,-0.015003331254929541,-0.19825712483956814,0.16825046232970908,10
5,6.0,p95_response_min,14.931224117455395,14.578083122615293,-0.35314099484009615,-1.059356829890068,0.3530748402098756,10
5,8.0,p95_response_min,30.08729409595818,30.252776429438114,0.16548233347993319,-0.1735001126028181,0.5044647795626844,10
5,10.0,p95_response_min,14.06723202885065,14.118462281402127,0.05123025255147855,-0.06466063020980964,0.16712113531276673,10
5,11.0,p95_response_min,15.70005505559725,15.355377907294137,-0.3446771483031091,-0.9844445135841449,0.29509021697792676,10
5,12.0,p95_response_min,15.604859168705033,15.480522766852783,-0.12433640185225006,-0.4154697283987956,0.16679692469429544,10
6,0.5,p95_response_min,8.735923507543998,8.735923507543998,0.0,0.0,0.0,9
6,1.0,p95_response_min,9.481427864909474,9.2824732526906,-0.19895461221887345,-0.6490212133215373,0.2511119888837904,10
6,2.0,p95_response_min,10.785786941395767,10.785786941395767,0.0,0.0,0.0,10
6,4.0,p95_response_min,13.829905813487818,13.852841305664787,0.022935492176970485,-0.2684023644209505,0.3142733487748915,10
