mode,incident_zone,duration_hours,start_hour,seed,call_digest,calls,mean_response_min,p95_response_min,strict_4min_rate,mean_wait_min,mean_delay_penalty_yuan_per_call,incident_zone_calls,incident_zone_mean_response_min,incident_zone_p95_response_min,incident_zone_strict_4min_rate,incident_zone_mean_wait_min,incident_zone_mean_delay_penalty_yuan_per_call,nonincident_zone_calls,nonincident_zone_mean_response_min,nonincident_zone_p95_response_min,nonincident_zone_strict_4min_rate,nonincident_zone_mean_wait_min,nonincident_zone_mean_delay_penalty_yuan_per_call,max_incident_queue,incident_end_backlog,max_daily_dispatches_per_ambulance
B_N,1,1.0,17.5,600008,680a28069f3ec5309818c13110136066d92921852cb18deaf7e75b84128d3453,6,3.9162456945817024,7.123105625617661,0.8333333333333334,0.0,149.91580558300714,6,3.9162456945817024,7.123105625617661,0.8333333333333334,0.0,149.91580558300714,0,,,,,,1,0,12
B_E,1,1.0,17.5,600009,957b3d05ccbc6a6b768a5000c3f45dcceb45fd6e602cd7ae72b2f13fd669e272,14,8.368964524003946,12.562938429357866,0.2142857142857142,1.203884987222409,916.650047657932,10,8.92449121021571,12.902547117760571,0.2,1.6854389821113729,1024.898242043142,4,6.980147808474535,11.08149526088076,0.25,0.0,646.029561694907,2,0,12
B_N,1,1.0,17.5,600009,957b3d05ccbc6a6b768a5000c3f45dcceb45fd6e602cd7ae72b2f13fd669e272,14,8.292920807069128,12.226989711022108,0.2142857142857142,1.203884987222409,901.4413042709688,10,8.70109858626061,11.727475965761275,0.2,1.6854389821113729,980.219717252122,4,7.272476359090425,12.075412332974784,0.25,0.0,704.4952718180849,2,0,12
B_E,1,2.0,17.0,600000,7f438c1f3089a74c5dd6b3c10f3f49c4882c8500906de33a1311c843cba6e1f1,30,14.433235873717708,33.12842064834364,0.2333333333333333,7.248675117790359,2133.3138414102086,15,12.7537058679284,30.814033348236254,0.2666666666666666,6.0909997384679935,1804.0745069190136,15,16.112765879507023,34.30981938336615,0.2,8.406350497112726,2462.553175901404,7,0,12
B_N,1,2.0,17.0,600000,7f438c1f3089a74c5dd6b3c10f3f49c4882c8500906de33a1311c843cba6e1f1,30,14.433235873717708,33.12842064834364,0.2333333333333333,7.248675117790359,2133.3138414102086,15,12.7537058679284,30.814033348236254,0.2666666666666666,6.0909997384679935,1804.0745069190136,15,16.112765879507023,34.30981938336615,0.2,8.406350497112726,2462.553175901404,7,0,12
B_E,1,2.0,17.0,600001,237d11d2f0ab2c9c256199f8f61fbdd13eccc30b2ca360b7be6415ef65931855,27,7.43052123428799,11.43274042711568,0.2222222222222222,0.0,730.5486913020424,18,7.704064254006173,11.767829363048325,0.2777777777777778,0.0,796.3684063567903,9,6.883435194851625,9.278205277870311,0.1111111111111111,0.0,598.9092611925471,1,0,12
B_N,1,2.0,17.0,600001,237d11d2f0ab2c9c256199f8f61fbdd13eccc30b2ca360b7be6415ef65931855,27,7.43052123428799,11.43274042711568,0.2222222222222222,0.0,730.5486913020424,18,7.704064254006173,11.767829363048325,0.2777777777777778,0.0,796.3684063567903,9,6.883435194851625,9.278205277870311,0.1111111111111111,0.0,598.9092611925471,1,0,12
B_E,1,2.0,17.0,600002,2f8dc6679b9154f5d633afe913f0e1e08a5bfcf24325d978a7791b6058175e57,23,6.571786837971012,10.677011542293398,0.217391304347826,0.1338660867679763,557.8356284637675,10,6.610399412734031,10.697418943069293,0.4,0.3078919995663455,602.0798825468064,13,6.542084857384074,8.994282030955349,0.0769230769230769,0.0,523.80158686143,1,0,12
B_N,1,2.0,17.0,600002,2f8dc6679b9154f5d633afe913f0e1e08a5bfcf24325d978a7791b6058175e57,23,6.571786837971012,10.677011542293398,0.217391304347826,0.1338660867679763,557.8356284637675,10,6.610399412734031,10.697418943069293,0.4,0.3078919995663455,602.0798825468064,13,6.542084857384074,8.994282030955349,0.0769230769230769,0.0,523.80158686143,1,0,12
B_E,1,2.0,17.0,600003,2f6d4d09474d516eb109f93cc396c4b1ee59936df89b5d406b275a9eac0ded66,26,17.64363386219766,32.68195766876816,0.1538461538461538,8.964819638735767,2759.496003208762,14,16.915923209719445,33.01603614066982,0.2142857142857142,8.645487764926136,2626.041784801032,12,18.49262962342224,30.199444605251244,0.0833333333333333,9.337373491513668,2915.1925913511145,6,1,12
B_N,1,2.0,17.0,600003,2f6d4d09474d516eb109f93cc396c4b1ee59936df89b5d406b275a9eac0ded66,26,17.49115366838817,33.11492289743329,0.1923076923076923,8.964819638735767,2736.692272139172,14,17.149358601480202,33.01603614066982,0.2142857142857142,8.645487764926136,2672.7288631531837,12,17.889914579780793,31.61822744052673,0.1666666666666666,9.337373491513668,2811.316249289492,6,1,12
B_E,1,2.0,17.0,600004,293d5cef8e75b72b7e6f8abf94b9c4d54ca306c15c717b88d4b380c4a93d5e58,36,21.4218330376997,57.22247618638168,0.0833333333333333,12.683037652737564,3501.033274206606,21,21.19601693663831,56.74547582148232,0.1428571428571428,12.57389460049273,3467.7748158990908,15,21.73797557918565,56.07422205666725,0.0,12.835837925880332,3547.595115837129,9,8,12
B_N,1,2.0,17.0,600004,293d5cef8e75b72b7e6f8abf94b9c4d54ca306c15c717b88d4b380c4a93d5e58,36,21.4218330376997,57.22247618638168,0.0833333333333333,12.683037652737564,3501.033274206606,21,21.19601693663831,56.74547582148232,0.1428571428571428,12.57389460049273,3467.7748158990908,15,21.73797557918565,56.07422205666725,0.0,12.835837925880332,3547.595115837129,9,8,12
B_E,1,2.0,17.0,600005,5d2439a320e074787d4988e0a983c72769c883cb7dc39d7e5cdb90a36bb13ec3,31,15.801717380100408,30.551075730182266,0.1290322580645161,8.01655952523546,2386.149927632985,15,18.04811156361634,33.72047307097619,0.2,10.949086109075385,2849.622312723268,16,13.695722833054225,26.104027460620287,0.0625,5.267315852885531,1951.6445666108443,5,3,12
B_N,1,2.0,17.0,600005,5d2439a320e074787d4988e0a983c72769c883cb7dc39d7e5cdb90a36bb13ec3,31,15.801717380100408,30.551075730182266,0.1290322580645161,8.01655952523546,2386.149927632985,15,18.04811156361634,33.72047307097619,0.2,10.949086109075385,2849.622312723268,16,13.695722833054225,26.104027460620287,0.0625,5.267315852885531,1951.6445666108443,5,3,12
B_E,1,2.0,17.0,600006,5dde72acf364b64614be6d3207b019334d075e547495cbd5c6e26309cc5856f2,28,10.56982290467904,22.426236592923665,0.25,3.459048055258141,1363.964580935808,15,10.545450809674076,23.491690383049708,0.2666666666666666,2.781015904699355,1362.4234952681484,13,10.59794455276169,19.99266877138816,0.2307692307692307,4.241392844364432,1365.7427567061843,3,3,12
B_N,1,2.0,17.0,600006,5dde72acf364b64614be6d3207b019334d075e547495cbd5c6e26309cc5856f2,28,10.56982290467904,22.426236592923665,0.25,3.459048055258141,1363.964580935808,15,10.545450809674076,23.491690383049708,0.2666666666666666,2.781015904699355,1362.4234952681484,13,10.59794455276169,19.99266877138816,0.2307692307692307,4.241392844364432,1365.7427567061843,3,3,12
B_E,1,2.0,17.0,600007,a0dcb297df7bf1c666d3d7e092e104ff3efa2ab0a1db928e17a9ed60153fd706,16,5.413900824408493,8.822778796815255,0.375,0.0,357.78016488169874,9,5.587901687473448,9.278205277870311,0.5555555555555556,0.0,428.6914486058005,7,5.190185429039269,7.2596083814329715,0.1428571428571428,0.0,266.60851437928227,1,0,12
B_N,1,2.0,17.0,600007,a0dcb297df7bf1c666d3d7e092e104ff3efa2ab0a1db928e17a9ed60153fd706,16,5.413900824408493,8.822778796815255,0.375,0.0,357.78016488169874,9,5.587901687473448,9.278205277870311,0.5555555555555556,0.0,428.6914486058005,7,5.190185429039269,7.2596083814329715,0.1428571428571428,0.0,266.60851437928227,1,0,12
B_E,1,2.0,17.0,600008,930ceae1763c836b9f31d4024fa0b393d84ad420a03d83aee523caae84798b07,22,7.419438927768633,13.666666666666666,0.2727272727272727,0.0,738.4332400991811,15,7.614755318791127,13.666666666666666,0.4,0.0,802.9510637582257,7,7.000903804149003,8.497474167490214,0.0,0.0,600.1807608298004,1,0,12
B_N,1,2.0,17.0,600008,930ceae1763c836b9f31d4024fa0b393d84ad420a03d83aee523caae84798b07,22,7.419438927768633,13.666666666666666,0.2727272727272727,0.0,738.4332400991811,15,7.614755318791127,13.666666666666666,0.4,0.0,802.9510637582257,7,7.000903804149003,8.497474167490214,0.0,0.0,600.1807608298004,1,0,12
