incident_zone,duration_hours,start_hour,metric,mean_difference_B_E_minus_B_N,ci95_low,ci95_high,replications
5,12.0,8.05,mean_response_min,-0.013358244917482321,-0.06310798573046009,0.03639149589549545,10
6,0.5,17.75,mean_response_min,0.0,0.0,0.0,9
6,1.0,17.5,mean_response_min,-0.0603909384394389,-0.1970047323983211,0.07622285551944327,10
6,2.0,17.0,mean_response_min,-0.020951312035156898,-0.0683464726255073,0.026443848555193515,10
6,4.0,16.0,mean_response_min,-0.041035349086038675,-0.10118965688498963,0.01911895871291227,10
6,5.0,15.483333333333333,mean_response_min,-0.05161997972482553,-0.14477151780338257,0.04153155835373151,10
6,6.0,14.983333333333333,mean_response_min,-0.033267860166338356,-0.0782398496044942,0.011704129271817493,10
6,8.0,13.883333333333333,mean_response_min,0.021110540852849267,-0.09615456259661426,0.13837564430231278,10
6,10.0,10.266666666666666,mean_response_min,-0.057357633031346555,-0.1067336825708679,-0.007981583491825206,10
6,11.0,8.7,mean_response_min,-0.000181094480822086,-0.044795601078311376,0.04443341211666721,10
6,12.0,8.05,mean_response_min,0.018120885893293172,-0.016461445961448024,0.05270321774803437,10
7,0.5,17.75,mean_response_min,-0.04386160560928993,-0.12357862581287557,0.03585541459429572,9
7,1.0,17.5,mean_response_min,0.11014285789628228,-0.03063482258074704,0.25092053837331163,10
7,2.0,17.0,mean_response_min,-0.0840041556377443,-0.1911524558286805,0.0231441445531919,10
7,4.0,16.0,mean_response_min,0.14761432347808395,-0.0960738169860487,0.39130246394221657,10
7,5.0,15.483333333333333,mean_response_min,-0.15007031764980816,-0.5908920399821663,0.29075140468255,10
7,6.0,14.983333333333333,mean_response_min,0.28112814720058343,-0.13356015197398075,0.6958164463751476,10
7,8.0,13.883333333333333,mean_response_min,-0.13838743021354638,-0.3162491872349791,0.03947432680788629,10
7,10.0,10.266666666666666,mean_response_min,-0.23730936535201738,-0.6015365540005502,0.12691782329651544,10
7,11.0,8.7,mean_response_min,-0.4237907750474312,-0.9821729497741467,0.1345913996792844,10
7,12.0,8.05,mean_response_min,-0.3965845417920704,-0.804910571433013,0.01174148784887219,10
8,0.5,17.75,mean_response_min,0.0,0.0,0.0,10
8,1.0,17.5,mean_response_min,-0.024675537252664092,-0.0804954805946721,0.031144406089343917,10
8,2.0,17.0,mean_response_min,0.0,0.0,0.0,10
8,4.0,16.0,mean_response_min,-0.06887970596478041,-0.22469642618444263,0.08693701425488182,10
8,5.0,15.483333333333333,mean_response_min,-0.09030768534004405,-0.29459786258775117,0.11398249190766307,10
8,6.0,14.983333333333333,mean_response_min,0.0577727720464285,-0.06984347151021195,0.18538901560306895,10
8,8.0,13.883333333333333,mean_response_min,0.039422303247887314,-0.06811837383725117,0.1469629803330258,10
8,10.0,10.266666666666666,mean_response_min,-0.10708780727719862,-0.45936273364355495,0.2451871190891577,10
8,11.0,8.7,mean_response_min,-0.1874259433043644,-0.9726143834661205,0.5977624968573918,10
8,12.0,8.05,mean_response_min,0.0076586080067208686,-0.05985300880799041,0.07517022482143215,10
9,0.5,17.75,mean_response_min,0.0,0.0,0.0,9
9,1.0,17.5,mean_response_min,0.08631925634538247,-0.10894846768373885,0.2815869803745038,10
9,2.0,17.0,mean_response_min,-0.05579236389595188,-0.14840995634052623,0.036825228548622455,10
9,4.0,16.0,mean_response_min,-0.010646694534823985,-0.03473119083690057,0.013437801767252597,10
9,5.0,15.483333333333333,mean_response_min,0.00016737165654392427,-0.016457574321818245,0.01679231763490609,10
9,6.0,14.983333333333333,mean_response_min,-0.04520198425692827,-0.09947867668203798,0.009074708168181442,10
9,8.0,13.883333333333333,mean_response_min,-0.10078690237552106,-0.32128731977065556,0.11971351501961346,10
9,10.0,10.266666666666666,mean_response_min,-0.006340427508202939,-0.021438749202985975,0.008757894186580096,10
9,11.0,8.7,mean_response_min,-0.0730152468363678,-0.24613343954026184,0.10010294586752623,10
9,12.0,8.05,mean_response_min,-0.005860719085722987,-0.013950725623484234,0.00222928745203826,10
10,0.5,17.75,mean_response_min,0.0,0.0,0.0,9
10,1.0,17.5,mean_response_min,0.0,0.0,0.0,10
10,2.0,17.0,mean_response_min,0.010329249811377839,-0.013037136635762545,0.03369563625851822,10
10,4.0,16.0,mean_response_min,0.010590312019779002,-0.013366638172031993,0.03454726221159,10
10,5.0,15.483333333333333,mean_response_min,-0.01768870077703131,-0.0842474270783255,0.04887002552426289,10
10,6.0,14.983333333333333,mean_response_min,0.03051321349628582,-0.038512470974327986,0.09953889796689962,10
10,8.0,13.883333333333333,mean_response_min,-0.0312675645440474,-0.09823415315361891,0.03569902406552411,10
10,10.0,10.266666666666666,mean_response_min,0.014465755203214936,-0.018009249038997414,0.046940759445427284,10
10,11.0,8.7,mean_response_min,-0.013631874416655521,-0.0703271309260041,0.043063382092693045,10
10,12.0,8.05,mean_response_min,-0.014563626528317908,-0.03892291881804347,0.009795665761407649,10
1,0.5,17.75,p95_response_min,-0.007333098928968518,-0.023921721196642494,0.00925552333870546,10
1,1.0,17.5,p95_response_min,0.03359487183357572,-0.04240200811803525,0.1095917517851867,10
1,2.0,17.0,p95_response_min,-0.04329652286651253,-0.1412400621932501,0.054647016460225045,10
1,4.0,16.0,p95_response_min,-0.05855483327850593,-0.19101506879593277,0.0739054022389209,10
1,5.0,15.483333333333333,p95_response_min,0.0,0.0,0.0,10
1,6.0,14.983333333333333,p95_response_min,0.0,0.0,0.0,10
1,8.0,13.883333333333333,p95_response_min,0.0,0.0,0.0,10
1,10.0,10.266666666666666,p95_response_min,0.0,0.0,0.0,10
1,11.0,8.7,p95_response_min,0.0,0.0,0.0,10
1,12.0,8.05,p95_response_min,0.0,0.0,0.0,10
2,0.5,17.75,p95_response_min,0.0,0.0,0.0,9
2,1.0,17.5,p95_response_min,0.0650609258650082,-0.08211711359880311,0.2122389653288195,10
2,2.0,17.0,p95_response_min,0.44057338146557007,-0.22102405634801808,1.1021708192791582,10
2,4.0,16.0,p95_response_min,0.2637360476729954,-0.3868051962593996,0.9142772916053904,10
2,5.0,15.483333333333333,p95_response_min,0.0,0.0,0.0,10
2,6.0,14.983333333333333,p95_response_min,0.0,0.0,0.0,10
2,8.0,13.883333333333333,p95_response_min,0.0,0.0,0.0,10
2,10.0,10.266666666666666,p95_response_min,-0.005971278171478467,-1.9282973907252394,1.9163548343822825,10
2,11.0,8.7,p95_response_min,0.31725488058502177,-0.2576240770707762,0.8921338382408197,10
2,12.0,8.05,p95_response_min,0.8487121722512263,-0.9627930894496812,2.660217433952134,10
3,0.5,17.75,p95_response_min,0.0770174579561959,-0.10058511857370482,0.2546200344860966,9
3,1.0,17.5,p95_response_min,0.0,0.0,0.0,10
3,2.0,17.0,p95_response_min,0.0,0.0,0.0,10
3,4.0,16.0,p95_response_min,0.28615634656710115,-0.36117428249983213,0.9334869756340345,10
3,5.0,15.483333333333333,p95_response_min,0.0,0.0,0.0,10
3,6.0,14.983333333333333,p95_response_min,-0.46559918094385183,-1.5188577031089636,0.5876593412212601,10
3,8.0,13.883333333333333,p95_response_min,0.0,0.0,0.0,10
3,10.0,10.266666666666666,p95_response_min,0.0,0.0,0.0,10
3,11.0,8.7,p95_response_min,-0.7351210231027965,-2.939936399709267,1.469694353503674,10
