incident_zone,mode,metric,duration_hours,mean,ci95_low,ci95_high,replications,sampled_node
1,B_E,mean_response_min,9.323275862068966,80.5174599700268,64.10999393120673,96.92492600884688,10,False
1,B_E,mean_response_min,9.422413793103448,80.50059032412427,64.01580165438119,96.98537899386736,10,False
1,B_E,mean_response_min,9.52155172413793,80.49410864971703,63.929213419443414,97.05900387999066,10,False
1,B_E,mean_response_min,9.620689655172415,80.5018852989194,63.85495281823718,97.14881777960163,10,False
1,B_E,mean_response_min,9.719827586206897,80.52779062384579,63.797739721076695,97.25784152661488,10,False
1,B_E,mean_response_min,9.818965517241379,80.57569497661048,63.76223615617599,97.38915379704497,10,False
1,B_E,mean_response_min,9.918103448275863,80.64946870932786,63.75298652074986,97.54595089790587,10,False
1,B_E,mean_response_min,10.0,80.73267428846792,63.768253844190596,97.69709473274524,10,True
1,B_E,mean_response_min,10.017241379310345,80.7541208308708,63.77473630658221,97.7335053551594,10,False
1,B_E,mean_response_min,10.116379310344827,80.9381892433424,63.84542013573963,98.03095835094518,10,False
1,B_E,mean_response_min,10.215517241379311,81.21658553814021,63.96636156124727,98.46680951503315,10,False
1,B_E,mean_response_min,10.314655172413794,81.57665032690319,64.12693801909208,99.0263626347143,10,False
1,B_E,mean_response_min,10.413793103448276,82.00572422127033,64.31704547951827,99.69440296302238,10,False
1,B_E,mean_response_min,10.51293103448276,82.49114783288064,64.52914042338156,100.45315524237972,10,False
1,B_E,mean_response_min,10.612068965517242,83.02026177337312,64.75941803862945,101.2811055081168,10,False
1,B_E,mean_response_min,10.711206896551724,83.58040665438669,65.00818749577998,102.1526258129934,10,False
1,B_E,mean_response_min,10.810344827586206,84.15892308756042,65.27957443074968,103.03827174437117,10,False
1,B_E,mean_response_min,10.90948275862069,84.74315168453326,65.5807161805917,103.90558718847483,10,False
1,B_E,mean_response_min,11.0,85.27083092898064,65.8892682473965,104.65239361056479,10,True
1,B_E,mean_response_min,11.008620689655173,85.32178364477474,65.9222592072427,104.72130808230678,10,False
1,B_E,mean_response_min,11.107758620689655,86.08547669632222,66.55791862115716,105.61303477148728,10,False
1,B_E,mean_response_min,11.206896551724139,87.15446726188159,67.63679536791932,106.67213915584387,10,False
1,B_E,mean_response_min,11.306034482758621,88.49750662916844,69.11594991713284,107.87906334120404,10,False
1,B_E,mean_response_min,11.405172413793103,90.08334608589843,70.9501962001827,109.21649597161415,10,False
1,B_E,mean_response_min,11.504310344827587,91.88073691978724,73.09268253610534,110.66879130346913,10,False
1,B_E,mean_response_min,11.60344827586207,93.85843041855051,75.49529235586681,112.22156848123421,10,False
1,B_E,mean_response_min,11.702586206896552,95.98517786990391,78.10894240118245,113.86141333862537,10,False
1,B_E,mean_response_min,11.801724137931036,98.22973056156312,80.88383480386179,115.57562631926444,10,False
1,B_E,mean_response_min,11.900862068965518,100.56083978124371,83.76970880803783,117.3519707544496,10,False
1,B_E,mean_response_min,12.0,102.94725681666141,86.71613252651125,119.17838110681157,10,True
1,B_N,p95_response_min,0.5,11.613744302447007,6.360042655810332,16.86744594908368,10,True
1,B_N,p95_response_min,0.5991379310344828,13.25538579182135,7.361954972820641,19.14881661082206,10,False
1,B_N,p95_response_min,0.6982758620689655,14.88720413156336,8.153702362988346,21.620705900138375,10,False
1,B_N,p95_response_min,0.7974137931034483,16.330831910546774,8.763308668281269,23.89835515281228,10,False
1,B_N,p95_response_min,0.896551724137931,17.407901717645345,9.213309474359185,25.602493960931504,10,False
1,B_N,p95_response_min,0.9956896551724138,17.940046141732807,9.498460868831133,26.381631414634484,10,False
1,B_N,p95_response_min,1.0,17.948065531996587,9.50664523332149,26.38948583067168,10,True
1,B_N,p95_response_min,1.0948275862068966,18.152892798189818,9.78120276912377,26.524582827255866,10,False
1,B_N,p95_response_min,1.1939655172413794,18.455501145517502,10.242476324849095,26.66852596618591,10,False
1,B_N,p95_response_min,1.293103448275862,18.841356907705737,10.812743609322526,26.86997020608895,10,False
1,B_N,p95_response_min,1.3922413793103448,19.303165006301825,11.409938145319448,27.196391867284202,10,False
1,B_N,p95_response_min,1.4913793103448276,19.83363036285307,11.949578537809783,27.717682187896358,10,False
1,B_N,p95_response_min,1.5905172413793105,20.42545789890678,12.360565052486702,28.49035074532686,10,False
1,B_N,p95_response_min,1.6896551724137931,21.07135253601025,12.602158648654111,29.540546423366386,10,False
1,B_N,p95_response_min,1.7887931034482758,21.764019195710784,12.671615413350313,30.856422978071254,10,False
1,B_N,p95_response_min,1.8879310344827587,22.49616279955569,12.59740978196509,32.39491581714629,10,False
1,B_N,p95_response_min,1.9870689655172415,23.260488269092264,12.42459445352746,34.096382084657066,10,False
1,B_N,p95_response_min,2.0,23.362173539800374,12.397355371600726,34.32699170800002,10,True
1,B_N,p95_response_min,2.086206896551724,24.123444800549663,12.166421440149481,36.08046816094985,10,False
1,B_N,p95_response_min,2.185344827586207,25.19134669532457,11.782599107857331,38.60009428279181,10,False
1,B_N,p95_response_min,2.2844827586206895,26.44821802707948,11.278929069068408,41.61750698509056,10,False
1,B_N,p95_response_min,2.3836206896551726,27.876394220185496,10.673888865436354,45.07889957493464,10,False
1,B_N,p95_response_min,2.4827586206896552,29.458210699013666,9.992571520000197,48.923849878027134,10,False
1,B_N,p95_response_min,2.581896551724138,31.176002887935077,9.262726885355217,53.08927889051493,10,False
1,B_N,p95_response_min,2.681034482758621,33.01210621132083,8.51256991590024,57.51164250674141,10,False
1,B_N,p95_response_min,2.7801724137931036,34.94885609354198,7.769804967040464,62.12790722004349,10,False
1,B_N,p95_response_min,2.8793103448275863,36.968587958969614,7.061304797811978,66.87587112012724,10,False
1,B_N,p95_response_min,2.978448275862069,39.05363723197481,6.413085324685724,71.6941891392639,10,False
1,B_N,p95_response_min,3.0775862068965516,41.18633933692866,5.850388196314,76.52229047754332,10,False
1,B_N,p95_response_min,3.1767241379310347,43.34902969820222,5.39778453970812,81.30027485669632,10,False
