incident_zone,metric,duration_hours,mean_difference_B_E_minus_B_N,ci95_low,ci95_high,replications,sampled_node
5,max_incident_queue,1.3922413793103448,0.0,0.0,0.0,10,False
5,max_incident_queue,1.4913793103448276,0.0,0.0,0.0,10,False
5,max_incident_queue,1.5905172413793105,0.0,0.0,0.0,10,False
5,max_incident_queue,1.6896551724137931,0.0,0.0,0.0,10,False
5,max_incident_queue,1.7887931034482758,0.0,0.0,0.0,10,False
5,max_incident_queue,1.8879310344827587,0.0,0.0,0.0,10,False
5,max_incident_queue,1.9870689655172415,0.0,0.0,0.0,10,False
5,max_incident_queue,2.0,0.0,0.0,0.0,10,True
5,max_incident_queue,2.086206896551724,0.000541355734142442,-0.0006832760174697637,0.0017659874857546478,10,False
5,max_incident_queue,2.185344827586207,0.002417275478315018,-0.0030509815594117564,0.007885532516041793,10,False
5,max_incident_queue,2.2844827586206895,0.005494200126081424,-0.006934544042980472,0.017922944295143323,10,False
5,max_incident_queue,2.3836206896551726,0.009625975641554603,-0.012149494104909182,0.03140144538801839,10,False
5,max_incident_queue,2.4827586206896552,0.014666447988847437,-0.018511362381931105,0.04784425835962598,10,False
5,max_incident_queue,2.581896551724138,0.02046946313207286,-0.025835679510779537,0.06677460577492525,10,False
5,max_incident_queue,2.681034482758621,0.026888867035343822,-0.03393797612818774,0.08771571019887539,10,False
5,max_incident_queue,2.7801724137931036,0.033778505662773184,-0.0426337828708889,0.11019079419643527,10,False
5,max_incident_queue,2.8793103448275863,0.04099222497847391,-0.05173863037561631,0.13372308033256414,10,False
5,max_incident_queue,2.978448275862069,0.048383870946558896,-0.061068049279103254,0.15783579117222105,10,False
5,max_incident_queue,3.0775862068965516,0.05580728953114109,-0.07043757021808297,0.18205214928036514,10,False
5,max_incident_queue,3.1767241379310347,0.06311632669633341,-0.07966272382928874,0.20589537722195556,10,False
5,max_incident_queue,3.2758620689655173,0.07016482840624874,-0.08855904074945381,0.2288886975619513,10,False
5,max_incident_queue,3.375,0.076806640625,-0.09694205161531136,0.2505553328653114,10,False
5,max_incident_queue,3.474137931034483,0.08289560931670018,-0.10462728706359473,0.2704185056969951,10,False
5,max_incident_queue,3.5732758620689657,0.0882855804454621,-0.11143027773103716,0.28800143862196137,10,False
5,max_incident_queue,3.6724137931034484,0.09283039997539874,-0.11716655425437184,0.3028273542051693,10,False
5,max_incident_queue,3.771551724137931,0.09638391387062302,-0.1216516472703321,0.31441947501157813,10,False
5,max_incident_queue,3.8706896551724137,0.09879996809524785,-0.1247010874156512,0.3223010236061469,10,False
5,max_incident_queue,3.969827586206897,0.09993240861338615,-0.12613040532706232,0.3259952225538346,10,False
5,max_incident_queue,4.0,0.1,-0.12621571627982048,0.3262157162798205,10,True
5,max_incident_queue,4.068965517241379,0.09863873057525936,-0.12449758032488585,0.3217750414754046,10,False
