mode,incident_zone,duration_hours,start_hour,metric,mean,ci95_low,ci95_high,replications
B_E,1,2.0,17.0,nonincident_zone_mean_wait_min,4.008827061175669,0.5728039116138808,7.4448502107374575,10
B_E,1,2.0,17.0,nonincident_zone_mean_delay_penalty_yuan_per_call,1461.1797746398474,612.0724569249716,2310.2870923547234,10
B_E,1,2.0,17.0,max_incident_queue,3.5,1.3341494103318312,5.665850589668169,10
B_E,1,2.0,17.0,incident_end_backlog,1.5,-0.35472363699510945,3.3547236369951094,10
B_E,1,4.0,16.0,calls,51.7,46.37818479167104,57.02181520832897,10
B_E,1,4.0,16.0,mean_response_min,20.900229721183347,7.803031253439604,33.99742818892709,10
B_E,1,4.0,16.0,p95_response_min,60.06471811682884,8.880802411121174,111.2486338225365,10
B_E,1,4.0,16.0,strict_4min_rate,0.18531696684683294,0.13389019971425176,0.23674373397941412,10
B_E,1,4.0,16.0,mean_wait_min,12.985184105211355,0.13426519942456316,25.836103010998144,10
B_E,1,4.0,16.0,mean_delay_penalty_yuan_per_call,3416.6112679521284,803.4747820134767,6029.747753890781,10
B_E,1,4.0,16.0,incident_zone_calls,29.0,25.275255971323354,32.724744028676646,10
B_E,1,4.0,16.0,incident_zone_mean_response_min,22.215942057194606,7.176105712934337,37.255778401454876,10
B_E,1,4.0,16.0,incident_zone_p95_response_min,58.12065060763841,6.7741904790124465,109.46711073626437,10
B_E,1,4.0,16.0,incident_zone_strict_4min_rate,0.22278510576063412,0.1501935825199954,0.2953766290012728,10
B_E,1,4.0,16.0,incident_zone_mean_wait_min,14.071367025272925,-0.6473933536473861,28.790127404193235,10
B_E,1,4.0,16.0,incident_zone_mean_delay_penalty_yuan_per_call,3686.8287650353645,687.5795792865065,6686.077950784223,10
B_E,1,4.0,16.0,nonincident_zone_calls,22.7,19.918170027813396,25.481829972186603,10
B_E,1,4.0,16.0,nonincident_zone_mean_response_min,19.156578956649323,8.310622797923441,30.002535115375203,10
B_E,1,4.0,16.0,nonincident_zone_p95_response_min,58.05588600955904,7.409300257120577,108.7024717619975,10
B_E,1,4.0,16.0,nonincident_zone_strict_4min_rate,0.1429322707985446,0.09619382437060309,0.1896707172264861,10
B_E,1,4.0,16.0,nonincident_zone_mean_wait_min,11.596849693755715,0.9683898986877395,22.22530948882369,10
B_E,1,4.0,16.0,nonincident_zone_mean_delay_penalty_yuan_per_call,3059.902245489574,894.9443273740017,5224.860163605146,10
B_E,1,4.0,16.0,max_incident_queue,7.3,3.778486544004205,10.821513455995795,10
B_E,1,4.0,16.0,incident_end_backlog,5.3,1.1829844490560504,9.41701555094395,10
B_E,1,5.0,15.483333333333333,calls,63.6,57.34363683731981,69.85636316268018,10
B_E,1,5.0,15.483333333333333,mean_response_min,34.68244653104297,18.437029268701142,50.9278637933848,10
B_E,1,5.0,15.483333333333333,p95_response_min,142.30703037471332,79.02703524131029,205.58702550811637,10
B_E,1,5.0,15.483333333333333,strict_4min_rate,0.1764212886435689,0.12624135697600125,0.22660122031113655,10
B_E,1,5.0,15.483333333333333,mean_wait_min,26.956716313837852,10.82413584377979,43.08929678389592,10
B_E,1,5.0,15.483333333333333,mean_delay_penalty_yuan_per_call,6171.773563937308,2928.7989380844424,9414.748189790173,10
B_E,1,5.0,15.483333333333333,incident_zone_calls,35.5,31.636631154657323,39.36336884534268,10
B_E,1,5.0,15.483333333333333,incident_zone_mean_response_min,38.33662990401333,18.527139457723507,58.14612035030315,10
B_E,1,5.0,15.483333333333333,incident_zone_p95_response_min,130.64651804958413,69.67871362567473,191.61432247349353,10
B_E,1,5.0,15.483333333333333,incident_zone_strict_4min_rate,0.2156075013689463,0.14235615657859785,0.28885884615929475,10
B_E,1,5.0,15.483333333333333,incident_zone_mean_wait_min,30.379986044833704,10.761186177381827,49.998785912285584,10
B_E,1,5.0,15.483333333333333,incident_zone_mean_delay_penalty_yuan_per_call,6910.447481076456,2957.3510070416914,10863.543955111221,10
B_E,1,5.0,15.483333333333333,nonincident_zone_calls,28.1,24.32295768736953,31.877042312630472,10
B_E,1,5.0,15.483333333333333,nonincident_zone_mean_response_min,29.401207668168713,15.424384138056011,43.37803119828141,10
B_E,1,5.0,15.483333333333333,nonincident_zone_p95_response_min,116.58057412308968,45.53499913098695,187.6261491151924,10
