mode,external_count,external_sites,call_digest,calls,mean_response_min,p95_response_min,strict_4min_rate,mean_wait_min,mean_delay_penalty_yuan_per_call,incident_zone_calls,incident_zone_mean_response_min,incident_zone_p95_response_min,incident_zone_strict_4min_rate,incident_zone_mean_wait_min,incident_zone_mean_delay_penalty_yuan_per_call,nonincident_zone_calls,nonincident_zone_mean_response_min,nonincident_zone_p95_response_min,nonincident_zone_strict_4min_rate,nonincident_zone_mean_wait_min,nonincident_zone_mean_delay_penalty_yuan_per_call,max_incident_queue,incident_end_backlog,external_dispatches,max_daily_dispatches_per_ambulance,incident_zone,duration_hours,start_hour,seed
B_E,4,S1|S1|S1|S1,777dbe332e47e3c328c496c3f6c64ca5b87abdd731f6a59e656302754f25f7b8,11,5.655318560593858,8.803047192704517,0.36363636363636365,0.0,403.7909848460442,3,3.0,3.0,1.0,0.0,0.0,8,6.651063020816554,9.101740840330274,0.125,0.0,555.2126041633107,1,0,4,12,1,0.5,17.75,600003
B_E,5,S1|S1|S1|S1|S1,777dbe332e47e3c328c496c3f6c64ca5b87abdd731f6a59e656302754f25f7b8,11,5.655318560593858,8.803047192704517,0.36363636363636365,0.0,403.7909848460442,3,3.0,3.0,1.0,0.0,0.0,8,6.651063020816554,9.101740840330274,0.125,0.0,555.2126041633107,1,0,5,12,1,0.5,17.75,600003
B_E,6,S1|S1|S1|S1|S1|S1,777dbe332e47e3c328c496c3f6c64ca5b87abdd731f6a59e656302754f25f7b8,11,5.655318560593858,8.803047192704517,0.36363636363636365,0.0,403.7909848460442,3,3.0,3.0,1.0,0.0,0.0,8,6.651063020816554,9.101740840330274,0.125,0.0,555.2126041633107,1,0,6,12,1,0.5,17.75,600003
B_E,0,,6f361b5f72f7a5289ffb40187bba904b9c74c116e53d12923e0267edb9222c36,7,5.859817178450988,8.497474167490214,0.42857142857142855,0.0,457.67772140448335,5,5.198989666996086,8.497474167490214,0.6,0.0,359.79793339921713,2,7.511885957088246,7.777850126265612,0.0,0.0,702.3771914176491,1,0,0,12,1,0.5,17.75,600004
B_E,1,S1,6f361b5f72f7a5289ffb40187bba904b9c74c116e53d12923e0267edb9222c36,7,5.074463725952386,8.290452427428745,0.5714285714285714,0.0,329.17845947619156,5,4.099494833498043,7.39797933399217,0.8,0.0,179.89896669960856,2,7.511885957088246,7.777850126265612,0.0,0.0,702.3771914176491,1,0,1,12,1,0.5,17.75,600004
B_E,2,S1|S1,6f361b5f72f7a5289ffb40187bba904b9c74c116e53d12923e0267edb9222c36,7,4.289110273453785,7.630092254500408,0.7142857142857143,0.0,200.67919754789975,5,3.0,3.0,1.0,0.0,0.0,2,7.511885957088246,7.777850126265612,0.0,0.0,702.3771914176491,1,0,2,12,1,0.5,17.75,600004
B_E,3,S1|S1|S1,6f361b5f72f7a5289ffb40187bba904b9c74c116e53d12923e0267edb9222c36,7,4.289110273453785,7.630092254500408,0.7142857142857143,0.0,200.67919754789975,5,3.0,3.0,1.0,0.0,0.0,2,7.511885957088246,7.777850126265612,0.0,0.0,702.3771914176491,1,0,3,12,1,0.5,17.75,600004
B_E,4,S1|S1|S1|S1,6f361b5f72f7a5289ffb40187bba904b9c74c116e53d12923e0267edb9222c36,7,4.289110273453785,7.630092254500408,0.7142857142857143,0.0,200.67919754789975,5,3.0,3.0,1.0,0.0,0.0,2,7.511885957088246,7.777850126265612,0.0,0.0,702.3771914176491,1,0,4,12,1,0.5,17.75,600004
B_E,5,S1|S1|S1|S1|S1,6f361b5f72f7a5289ffb40187bba904b9c74c116e53d12923e0267edb9222c36,7,4.573580414049745,9.023995943420616,0.7142857142857143,0.0,257.573225667092,5,3.0,3.0,1.0,0.0,0.0,2,8.50753144917411,9.669576561228753,0.0,0.0,901.5062898348219,1,0,5,12,1,0.5,17.75,600004
B_E,6,S1|S1|S1|S1|S1|S1,6f361b5f72f7a5289ffb40187bba904b9c74c116e53d12923e0267edb9222c36,7,4.573580414049745,9.023995943420616,0.7142857142857143,0.0,257.573225667092,5,3.0,3.0,1.0,0.0,0.0,2,8.50753144917411,9.669576561228753,0.0,0.0,901.5062898348219,1,0,6,12,1,0.5,17.75,600004
B_E,0,,28de23b7a02fdd2acf585d25661ae5985d9072728cda33f07154819411685016,12,15.062315699474324,26.891358485981687,0.08333333333333333,6.721545951509445,2229.1298065615315,7,16.3448945039268,27.98653693350915,0.0,7.469246948144116,2468.97890078536,5,13.266705373240859,23.993135090494917,0.2,5.674764556220907,1893.3410746481718,5,5,0,12,1,0.5,17.75,600005
B_E,1,S1,28de23b7a02fdd2acf585d25661ae5985d9072728cda33f07154819411685016,12,11.15417297570957,22.050109855899304,0.25,3.7802845754134373,1480.834595141914,7,10.92272826947759,20.36016741219888,0.2857142857142857,3.1185139572470297,1441.6885110383753,5,11.47819556443434,21.319960034895548,0.2,4.706763440846407,1535.639112886868,4,4,1,12,1,0.5,17.75,600005
B_E,2,S1|S1,28de23b7a02fdd2acf585d25661ae5985d9072728cda33f07154819411685016,12,8.56728425070092,21.476772755631774,0.3333333333333333,2.4731460796683677,980.1235168068507,7,8.503382324055405,18.235110985173105,0.42857142857142855,2.5421098555702235,986.3907505253667,5,8.656746948004642,19.0322900949563,0.2,2.3765967934057697,971.3493896009284,3,3,2,12,1,0.5,17.75,600005
B_E,3,S1|S1|S1,28de23b7a02fdd2acf585d25661ae5985d9072728cda33f07154819411685016,12,6.478692455662539,13.749432196735816,0.4166666666666667,1.4469434637837064,579.071824465841,7,5.674430800747794,10.057489339424956,0.5714285714285714,1.1037238957505906,449.1718744352732,5,7.60465877254318,15.517205136738923,0.2,1.9274508590300683,760.931754508636,2,2,3,12,1,0.5,17.75,600005
B_E,4,S1|S1|S1|S1,28de23b7a02fdd2acf585d25661ae5985d9072728cda33f07154819411685016,12,6.103712291783314,13.000166088105791,0.5,0.45669479986463557,520.7424583566626,7,5.958824387183098,14.778762423281023,0.7142857142857143,0.7829053711965182,534.6220202937624,5,6.306555358223615,9.631523735832191,0.2,0.0,501.31107164472286,1,1,4,12,1,0.5,17.75,600005
B_E,5,S1|S1|S1|S1|S1,28de23b7a02fdd2acf585d25661ae5985d9072728cda33f07154819411685016,12,4.72741937010901,8.706892365119366,0.5833333333333334,0.0,262.15054068846865,7,3.785353452498602,6.848231917243146,0.8571428571428571,0.0,128.49926192829182,5,6.046311654763581,8.869773185497595,0.2,0.0,449.2623309527163,1,0,5,12,1,0.5,17.75,600005
B_E,6,S1|S1|S1|S1|S1|S1,28de23b7a02fdd2acf585d25661ae5985d9072728cda33f07154819411685016,12,4.7395670599356245,9.083022500275288,0.5833333333333334,0.0,264.58007865379165,7,3.785353452498602,6.848231917243146,0.8571428571428571,0.0,128.49926192829182,5,6.075466110347458,9.400434487956034,0.2,0.0,455.09322206949145,1,0,6,12,1,0.5,17.75,600005
B_E,0,,93a2cf263281b6786abbd0ff4ddd7987e2da9d54b0a48e992a078d10a6b4876a,8,7.847056388468657,11.432740427115679,0.25,0.0,819.4112776937313,7,7.8527213438758,11.432740427115679,0.2857142857142857,0.0,827.6871259180172,1,7.8074017006186525,7.8074017006186525,0.0,0.0,761.4803401237305,1,0,0,12,1,0.5,17.75,600006
B_E,1,S1,93a2cf263281b6786abbd0ff4ddd7987e2da9d54b0a48e992a078d10a6b4876a,8,6.792963835079197,10.860823717301823,0.375,0.0,633.5927670158394,7,6.648044140002133,10.942526104418087,0.42857142857142855,0.0,615.3231137147121,1,7.8074017006186525,7.8074017006186525,0.0,0.0,761.4803401237305,1,0,1,12,1,0.5,17.75,600006
B_E,2,S1|S1,93a2cf263281b6786abbd0ff4ddd7987e2da9d54b0a48e992a078d10a6b4876a,8,5.738871281689738,9.343266203735322,0.5,0.0,447.77425633794746,7,5.443366936128464,9.408327129600329,0.5714285714285714,0.0,402.959101511407,1,7.8074017006186525,7.8074017006186525,0.0,0.0,761.4803401237305,1,0,2,12,1,0.5,17.75,600006
B_E,3,S1|S1|S1,93a2cf263281b6786abbd0ff4ddd7987e2da9d54b0a48e992a078d10a6b4876a,8,5.137946069112406,9.343266203735322,0.625,0.0,352.58921382248116,7,4.756595264611513,9.408327129600329,0.7142857142857143,0.0,294.17619577944555,1,7.8074017006186525,7.8074017006186525,0.0,0.0,761.4803401237305,1,0,3,12,1,0.5,17.75,600006
B_E,4,S1|S1|S1|S1,93a2cf263281b6786abbd0ff4ddd7987e2da9d54b0a48e992a078d10a6b4876a,8,4.288109483513608,8.255948804085167,0.75,0.0,207.62189670272164,7,3.785353452498602,6.848231917243146,0.8571428571428571,0.0,128.49926192829182,1,7.8074017006186525,7.8074017006186525,0.0,0.0,761.4803401237305,1,0,4,12,1,0.5,17.75,600006
B_E,5,S1|S1|S1|S1|S1,93a2cf263281b6786abbd0ff4ddd7987e2da9d54b0a48e992a078d10a6b4876a,8,3.6009252125773314,6.124811105402122,0.875,0.0,95.18504251546631,7,3.0,3.0,1.0,0.0,0.0,1,7.8074017006186525,7.8074017006186525,0.0,0.0,761.4803401237305,1,0,5,12,1,0.5,17.75,600006
B_E,6,S1|S1|S1|S1|S1|S1,93a2cf263281b6786abbd0ff4ddd7987e2da9d54b0a48e992a078d10a6b4876a,8,3.6009252125773314,6.124811105402122,0.875,0.0,95.18504251546631,7,3.0,3.0,1.0,0.0,0.0,1,7.8074017006186525,7.8074017006186525,0.0,0.0,761.4803401237305,1,0,6,12,1,0.5,17.75,600006
B_E,0,,bc60acc8a0d86631a9aff2768ef84d00264b671a1c5eb4d77cfae62a88b98019,3,3.628539361054709,4.697056274847714,0.6666666666666666,0.0,59.04120554427514,1,3.0,3.0,1.0,0.0,0.0,2,3.9428090415820636,4.791337179005921,0.5,0.0,88.56180831641271,1,0,0,12,1,0.5,17.75,600007
B_E,1,S1,bc60acc8a0d86631a9aff2768ef84d00264b671a1c5eb4d77cfae62a88b98019,3,3.628539361054709,4.697056274847714,0.6666666666666666,0.0,59.04120554427514,1,3.0,3.0,1.0,0.0,0.0,2,3.9428090415820636,4.791337179005921,0.5,0.0,88.56180831641271,1,0,1,12,1,0.5,17.75,600007
B_E,2,S1|S1,bc60acc8a0d86631a9aff2768ef84d00264b671a1c5eb4d77cfae62a88b98019,3,3.628539361054709,4.697056274847714,0.6666666666666666,0.0,59.04120554427514,1,3.0,3.0,1.0,0.0,0.0,2,3.9428090415820636,4.791337179005921,0.5,0.0,88.56180831641271,1,0,1,12,1,0.5,17.75,600007
B_E,3,S1|S1|S1,bc60acc8a0d86631a9aff2768ef84d00264b671a1c5eb4d77cfae62a88b98019,3,3.628539361054709,4.697056274847714,0.6666666666666666,0.0,59.04120554427514,1,3.0,3.0,1.0,0.0,0.0,2,3.9428090415820636,4.791337179005921,0.5,0.0,88.56180831641271,1,0,1,12,1,0.5,17.75,600007
B_E,4,S1|S1|S1|S1,bc60acc8a0d86631a9aff2768ef84d00264b671a1c5eb4d77cfae62a88b98019,3,3.628539361054709,4.697056274847714,0.6666666666666666,0.0,59.04120554427514,1,3.0,3.0,1.0,0.0,0.0,2,3.9428090415820636,4.791337179005921,0.5,0.0,88.56180831641271,1,0,1,12,1,0.5,17.75,600007
B_E,5,S1|S1|S1|S1|S1,bc60acc8a0d86631a9aff2768ef84d00264b671a1c5eb4d77cfae62a88b98019,3,3.628539361054709,4.697056274847714,0.6666666666666666,0.0,59.04120554427514,1,3.0,3.0,1.0,0.0,0.0,2,3.9428090415820636,4.791337179005921,0.5,0.0,88.56180831641271,1,0,1,12,1,0.5,17.75,600007
B_E,6,S1|S1|S1|S1|S1|S1,bc60acc8a0d86631a9aff2768ef84d00264b671a1c5eb4d77cfae62a88b98019,3,3.628539361054709,4.697056274847714,0.6666666666666666,0.0,59.04120554427514,1,3.0,3.0,1.0,0.0,0.0,2,3.9428090415820636,4.791337179005921,0.5,0.0,88.56180831641271,1,0,1,12,1,0.5,17.75,600007
B_E,0,,8d0690613628bd42baa7519ffd9a937646fa0a33db634e3fbb0abdc9730f8210,3,4.832491389163405,7.947726750741192,0.6666666666666666,0.0,299.8316111660143,3,4.832491389163405,7.947726750741192,0.6666666666666666,0.0,299.8316111660143,0,,,,,,1,0,0,12,1,0.5,17.75,600008
B_E,1,S1,8d0690613628bd42baa7519ffd9a937646fa0a33db634e3fbb0abdc9730f8210,3,3.0,3.0,1.0,0.0,0.0,3,3.0,3.0,1.0,0.0,0.0,0,,,,,,1,0,1,12,1,0.5,17.75,600008
B_E,2,S1|S1,8d0690613628bd42baa7519ffd9a937646fa0a33db634e3fbb0abdc9730f8210,3,3.0,3.0,1.0,0.0,0.0,3,3.0,3.0,1.0,0.0,0.0,0,,,,,,1,0,2,12,1,0.5,17.75,600008
B_E,3,S1|S1|S1,8d0690613628bd42baa7519ffd9a937646fa0a33db634e3fbb0abdc9730f8210,3,3.0,3.0,1.0,0.0,0.0,3,3.0,3.0,1.0,0.0,0.0,0,,,,,,1,0,3,12,1,0.5,17.75,600008
B_E,4,S1|S1|S1|S1,8d0690613628bd42baa7519ffd9a937646fa0a33db634e3fbb0abdc9730f8210,3,3.0,3.0,1.0,0.0,0.0,3,3.0,3.0,1.0,0.0,0.0,0,,,,,,1,0,3,12,1,0.5,17.75,600008
B_E,5,S1|S1|S1|S1|S1,8d0690613628bd42baa7519ffd9a937646fa0a33db634e3fbb0abdc9730f8210,3,3.0,3.0,1.0,0.0,0.0,3,3.0,3.0,1.0,0.0,0.0,0,,,,,,1,0,3,12,1,0.5,17.75,600008
