incident_zone,duration_hours,external_count,replications,mean_response_min_n,mean_response_min_mean,mean_response_min_ci95_low,mean_response_min_ci95_high,cumulative_response_gain_min_n,cumulative_response_gain_min_mean,cumulative_response_gain_min_ci95_low,cumulative_response_gain_min_ci95_high,marginal_response_gain_min_n,marginal_response_gain_min_mean,marginal_response_gain_min_ci95_low,marginal_response_gain_min_ci95_high,total_delay_penalty_yuan_n,total_delay_penalty_yuan_mean,total_delay_penalty_yuan_ci95_low,total_delay_penalty_yuan_ci95_high,avoided_penalty_yuan_n,avoided_penalty_yuan_mean,avoided_penalty_yuan_ci95_low,avoided_penalty_yuan_ci95_high,avoided_penalty_per_vehicle_yuan_n,avoided_penalty_per_vehicle_yuan_mean,avoided_penalty_per_vehicle_yuan_ci95_low,avoided_penalty_per_vehicle_yuan_ci95_high,marginal_break_even_cost_yuan_n,marginal_break_even_cost_yuan_mean,marginal_break_even_cost_yuan_ci95_low,marginal_break_even_cost_yuan_ci95_high,external_dispatches_n,external_dispatches_mean,external_dispatches_ci95_low,external_dispatches_ci95_high
1,2.0,2,10,10,7.2329513800886165,5.243447245213057,9.222455514964176,10,4.096769996148302,1.8835775153955847,6.309962476901019,10,1.686927397414745,0.8257049403341521,2.548149854495338,10,21380.883172089925,8206.043140327894,34555.72320385196,10,22838.146678508612,7308.609561318692,38367.68379569853,10,11419.073339254306,3654.304780659346,19183.841897849266,10,9143.76288455178,3348.582685923272,14938.943083180286,10,5.3,4.7110662584135135,5.888933741586486
1,2.0,3,10,10,6.131197778594594,4.754765536943801,7.507630020245387,10,5.198523597642324,2.437007680144921,7.9600395151397265,10,1.101753601494023,0.4336499318512822,1.7698572711367637,10,15091.06756004304,6325.08263898318,23857.052481102903,10,29127.96229055549,9501.29058300937,48754.633998101606,10,9709.320763518497,3167.096861003124,16251.544666033871,10,6289.815612046881,1693.707055573922,10885.92416851984,10,7.8,6.85818886975084,8.74181113024916
1,2.0,4,10,10,5.373833104015217,4.371656923976984,6.376009284053451,10,5.955888272221702,2.8107476980993313,9.101028846344072,10,0.757364674579377,0.28029315478124905,1.2344361943775048,10,11016.11969869324,4904.953566962467,17127.28583042401,10,33202.91015190529,10844.071410995573,55561.74889281501,10,8300.727537976323,2711.0178527488933,13890.437223203753,10,4074.947861349801,884.8630816241221,7265.03264107548,10,10.0,8.88155956477889,11.11844043522111
1,2.0,5,10,10,4.884402310433081,4.141253382297012,5.62755123856915,10,6.445319065803837,3.0616694440529195,9.828968687554754,10,0.48943079358213615,0.05563153575155816,0.9232300514127141,10,8489.198416023857,3765.5830761829375,13212.813755864776,10,35729.83143457468,12307.927221809256,59151.7356473401,10,7145.966286914935,2461.585444361852,11830.347129468018,10,2526.9212826693824,245.52606825422845,4808.316497084536,10,12.1,10.86326213014749,13.33673786985251
1,2.0,6,10,10,4.558731381344672,3.992503309896222,5.124959452793122,10,6.770989994892245,3.186859605160408,10.355120384624083,10,0.3256709290884081,0.04428701186515266,0.6070548463116636,10,6707.474866417409,3138.996981235204,10275.952751599614,10,37511.554984181115,12952.037229995403,62071.07273836683,10,6251.925830696853,2158.6728716659018,10345.178789727805,10,1781.7235496064466,154.03098493737048,3409.416114275523,10,13.8,12.459567155635103,15.140432844364899
1,4.0,0,10,10,20.900229721183347,7.803031253439604,33.99742818892709,10,0.0,0.0,0.0,0,,,,10,199840.2540007022,9649.647759750718,390030.8602416537,10,0.0,0.0,0.0,0,,,,0,,,,10,0.0,0.0,0.0
1,4.0,1,10,10,12.686159106426128,6.419971755591845,18.95234645726041,10,8.214070614757222,1.3121357255131008,15.116005504001343,10,8.214070614757222,1.3121357255131008,15.116005504001343,10,103887.43962683456,12717.741737031116,195057.137516638,10,95952.81437386763,-3577.551355288335,195483.1801030236,10,95952.81437386763,-3577.551355288335,195483.1801030236,10,95952.81437386763,-3577.551355288335,195483.1801030236,10,5.9,4.80987910909812,6.99012089090188
1,4.0,2,10,10,9.19500576062614,5.387793910800309,13.002217610451972,10,11.705223960557209,2.334374054988542,21.076073866125874,10,3.491153345799988,0.9842245767406839,5.998082114859292,10,64308.29555106767,9102.140756922949,119514.45034521239,10,135531.95844963452,-60.76658061717171,271124.6834798862,10,67765.97922481726,-30.383290308585856,135562.3417399431,10,39579.14407576689,3271.660301000011,75886.62785053377,10,10.3,9.179020536686764,11.420979463313238
1,4.0,3,10,10,7.345548647775613,4.866104463615817,9.824992831935408,10,13.554681073407739,2.8990790344464497,24.210283112369027,10,1.8494571128505286,0.4841971454622389,3.2147170802388185,10,43565.14096891413,7677.021106754582,79453.26083107368,10,156275.1130317881,1721.2938793203211,310828.93218425586,10,52091.704343929356,573.7646264401119,103609.6440614186,10,20743.15458215355,1157.0051966070132,40329.30396770009,10,14.5,13.368921418600898,15.631078581399102
1,4.0,4,10,10,6.051223103835271,4.708902189372475,7.393544018298067,10,14.849006617348076,3.041173644345438,26.656839590350714,10,1.2943255439403398,0.10575415118262455,2.4828969366980553,10,28903.683676455265,9823.473659080151,47983.89369383038,10,170936.57032424692,-516.193936117721,342389.3345846116,10,42734.14258106173,-129.04848402943026,85597.3336461529,10,14661.457292458852,-2510.9704211250446,31833.88500604275,10,18.4,17.222132516827024,19.577867483172973
