candidate,strategy,seed,calls,mean_response_min,mean_ideal_chain_min,p95_ideal_chain_min,strict_4min_rate,median_response_min,p90_response_min,p95_response_min,mean_wait_min,mean_delay_penalty_yuan_per_call,mean_daily_delay_penalty_yuan,wait_probability,max_wait_min,max_queue,mean_queue,terminal_queue,mean_end_backlog,max_end_backlog,regional_mean_gap_min,worst_region_mean_min,max_daily_dispatches_per_ambulance,daily_cap_hit_rate,mean_c_loss_min,max_c_loss_min,reserve_dispatches
C_r201101_tau8,C,200002,980,9.752554459074537,16.765479629142565,37.91064042636274,0.2948979591836734,6.771236166328253,19.94700638811643,29.92013753006657,3.72234333336055,1209.476508221929,169326.71115107005,0.1785714285714285,97.41948094128747,10,0.3618944907433868,2,3.0,6,8.373913356487535,15.75010082903483,12,0.8214285714285714,,,393.0
C_r210000_tau4,C,200000,980,6.725890381449242,13.709155687571691,26.19437690428267,0.4030612244897959,4.885618083164127,9.79869268479038,18.021065380100943,1.448299859163389,625.6294328704531,87588.12060186344,0.0765306122448979,54.623686655620986,8,0.1408069307519961,7,1.7142857142857142,7,3.457843924492168,8.961250926901572,12,0.8333333333333334,,,227.0
C_r210000_tau4,C,200001,980,6.48103781198003,13.46933713170792,24.241269193127067,0.4010204081632653,4.885618083164127,9.666666666666668,14.33972841516775,1.2595308685577038,576.4116440286587,80697.63016401221,0.0622448979591836,75.3262894212603,6,0.1224543899986656,2,3.2857142857142856,6,4.072802476320723,9.095888289286156,12,0.8809523809523809,,,226.0
C_r210000_tau4,C,200002,980,7.409330284578328,14.422255454646356,26.175850287207783,0.3979591836734694,4.885618083164127,10.774602526460402,19.69593080468069,2.079010587957489,761.4309898566443,106600.3385799302,0.0948979591836734,112.1432767385777,8,0.2021260293847558,2,3.2857142857142856,7,7.171744990886396,12.35179838591854,12,0.8571428571428571,,,226.0
C_r210000_tau5,C,200000,980,6.844549433932068,13.827814740054515,27.528147651906707,0.4,4.885618083164127,9.79869268479038,19.87052076175052,1.5518625944410331,648.748998469059,90824.85978566825,0.0816326530612244,54.623686655620986,8,0.1508755300151004,7,1.8571428571428568,7,3.457843924492168,8.961250926901572,12,0.8333333333333334,,,227.0
C_r210000_tau5,C,200001,980,6.491539858299583,13.479839178027474,24.241269193127067,0.4,4.885618083164127,9.666666666666668,14.33972841516775,1.2595308685577038,578.3079716599166,80963.11603238832,0.0622448979591836,75.3262894212603,6,0.1224543899986656,2,3.2857142857142856,6,4.072802476320723,9.095888289286156,12,0.8809523809523809,,,226.0
C_r210000_tau5,C,200002,980,7.371148483852692,14.384073653920716,25.23930114704679,0.3959183673469387,4.885618083164127,10.23965802120746,18.98387090366542,2.031579882072468,753.3864664462109,105474.10530246951,0.0938775510204081,112.1432767385777,8,0.1975147107570455,2,3.142857142857143,7,7.0716883578125165,12.294781562147495,12,0.8333333333333334,,,227.0
C_r210000_tau6,C,200000,980,6.797915958463708,13.781181264586158,27.24569808323278,0.3989795918367347,4.885618083164127,9.79869268479038,18.44096496205818,1.5082107909412357,639.2182217427342,89490.55104398278,0.0806122448979591,54.623686655620986,8,0.1466316046748423,7,1.7142857142857142,7,3.117142725368791,8.620549727778196,12,0.8214285714285714,,,227.0
C_r210000_tau6,C,200001,980,6.491539858299583,13.479839178027474,24.241269193127067,0.4,4.885618083164127,9.666666666666668,14.33972841516775,1.2595308685577038,578.3079716599166,80963.11603238832,0.0622448979591836,75.3262894212603,6,0.1224543899986656,2,3.2857142857142856,6,4.072802476320723,9.095888289286156,12,0.8809523809523809,,,226.0
C_r210000_tau6,C,200002,980,7.401461830562093,14.41438700063012,26.175850287207783,0.396938775510204,4.885618083164127,10.774602526460402,19.69593080468069,2.071904002739,759.6532174207443,106351.4504389042,0.0948979591836734,112.1432767385777,8,0.2014351113774027,2,3.142857142857143,7,7.114728167115352,12.294781562147495,12,0.8571428571428571,,,226.0
